Date,Open,High,Low,Close
12/09/2021,"50,634","50,851","47,377","47,996"
12/08/2021,"50,500","51,182","48,750","50,634"
12/07/2021,"50,126","51,942","50,126","50,500"
12/06/2021,"49,275","50,426","47,290","50,007"
12/05/2021,"48,770","49,746","47,892","49,275"
12/04/2021,"53,648","53,874","42,169","48,745"
12/03/2021,"56,904","57,464","52,653","53,672"
12/02/2021,"57,026","57,362","55,859","56,904"
12/01/2021,"57,144","59,093","56,547","57,026"
11/30/2021,"58,266","59,146","55,932","57,144"
11/29/2021,"56,281","58,878","56,104","58,266"
11/28/2021,"54,601","56,402","53,578","56,281"
11/27/2021,"54,101","55,339","53,605","54,601"
11/26/2021,"58,834","59,342","53,577","54,101"
11/25/2021,"57,334","59,399","56,918","58,834"
11/24/2021,"57,696","57,755","55,928","57,334"
11/23/2021,"56,278","57,847","55,537","57,696"
11/22/2021,"59,568","59,574","55,706","56,278"
11/21/2021,"59,682","60,044","58,630","59,568"
11/20/2021,"57,924","59,725","57,570","59,682"
11/19/2021,"57,606","58,396","55,688","57,924"
11/18/2021,"60,101","60,956","56,777","57,583"
11/17/2021,"60,509","61,067","58,567","60,101"
11/16/2021,"63,864","64,015","58,870","60,557"
11/15/2021,"64,361","66,311","63,659","63,864"
11/14/2021,"64,317","65,297","63,673","64,373"
11/13/2021,"64,130","64,941","63,412","64,317"
11/12/2021,"65,030","65,459","62,334","64,072"
11/11/2021,"64,193","65,597","63,984","65,030"
11/10/2021,"67,802","68,925","63,052","64,387"
11/09/2021,"66,143","68,494","66,112","67,802"
11/08/2021,"62,862","66,504","62,817","66,175"
11/07/2021,"61,226","63,058","61,226","62,862"
11/06/2021,"60,966","61,594","60,184","61,223"
11/05/2021,"61,364","62,571","60,791","60,966"
11/04/2021,"62,769","63,211","60,776","61,378"
11/03/2021,"63,140","63,543","61,029","62,769"
11/02/2021,"60,652","64,243","60,460","63,140"
11/01/2021,"60,968","62,466","59,716","60,652"
10/31/2021,"61,698","62,400","60,058","60,968"
10/30/2021,"62,420","62,490","60,876","61,705"
10/29/2021,"61,398","62,943","60,315","62,420"
10/28/2021,"58,957","62,321","57,964","61,465"
10/27/2021,"62,095","62,095","58,153","58,957"
10/26/2021,"62,546","63,272","61,863","62,068"
10/25/2021,"61,153","63,688","60,654","62,546"
10/24/2021,"61,087","61,451","59,571","61,124"
10/23/2021,"60,728","61,716","59,764","61,087"
10/22/2021,"62,707","63,694","60,100","60,752"
10/21/2021,"65,980","66,612","62,368","62,707"
10/20/2021,"64,120","66,923","63,594","65,971"
10/19/2021,"61,369","64,322","61,139","64,120"
10/18/2021,"59,472","62,626","59,395","61,445"
10/17/2021,"61,013","61,408","59,071","59,472"
10/16/2021,"62,496","62,526","60,184","61,024"
10/15/2021,"57,449","62,719","56,896","62,496"
10/14/2021,"56,988","58,488","56,916","57,491"
10/13/2021,"55,364","57,479","54,325","56,988"
10/12/2021,"57,390","57,631","54,404","55,364"
10/11/2021,"55,425","57,767","54,445","57,390"
10/10/2021,"54,651","56,370","54,211","55,425"
10/09/2021,"53,951","55,410","53,738","54,651"
10/08/2021,"54,205","55,981","53,659","53,951"
10/07/2021,"54,903","55,588","53,496","54,205"
10/06/2021,"51,378","55,399","50,476","54,903"
10/05/2021,"49,016","51,757","48,595","51,378"
10/04/2021,"48,465","49,491","46,993","49,016"
10/03/2021,"48,045","49,158","47,139","48,552"
10/02/2021,"48,139","48,441","47,480","48,045"
10/01/2021,"43,432","48,122","43,302","48,110"
09/30/2021,"41,133","44,110","40,984","43,432"
09/29/2021,"41,792","42,538","40,806","41,114"
09/28/2021,"42,708","43,364","41,145","41,792"
09/27/2021,"43,607","44,318","42,689","42,696"
09/26/2021,"42,719","43,695","40,827","43,607"
09/25/2021,"43,001","43,162","41,750","42,719"
09/24/2021,"44,679","45,076","40,944","43,001"
09/23/2021,"43,445","44,932","43,051","44,679"
09/22/2021,"40,971","43,988","39,721","43,445"
09/21/2021,"43,489","43,904","40,391","40,971"
09/20/2021,"47,588","47,660","42,636","43,489"
09/19/2021,"48,008","48,359","47,182","47,588"
09/18/2021,"47,028","48,797","46,828","48,008"
09/17/2021,"47,102","48,167","46,775","47,028"
09/16/2021,"47,941","48,497","47,063","47,102"
09/15/2021,"46,828","48,436","46,418","47,948"
09/14/2021,"45,186","46,926","44,724","46,828"
09/13/2021,"45,023","46,697","43,561","45,144"
09/12/2021,"45,317","46,198","44,781","45,023"
09/11/2021,"45,094","46,000","44,304","45,333"
09/10/2021,"46,265","47,041","44,879","45,094"
09/09/2021,"46,154","47,384","45,586","46,268"
09/08/2021,"46,825","47,357","44,548","46,154"
09/07/2021,"51,930","52,918","43,917","46,777"
09/06/2021,"51,753","52,142","51,044","51,930"
09/05/2021,"50,195","51,652","49,527","51,652"
09/04/2021,"50,152","50,543","49,535","50,195"
09/03/2021,"49,553","50,999","48,379","50,184"
09/02/2021,"48,271","50,333","48,268","49,556"
09/01/2021,"47,008","48,953","46,567","48,279"
08/31/2021,"48,670","48,679","46,725","46,996"
08/30/2021,"48,927","49,394","47,500","48,670"
08/29/2021,"48,760","49,605","47,922","48,897"
08/28/2021,"48,913","49,306","48,405","48,760"
08/27/2021,"47,048","49,076","46,383","48,946"
08/26/2021,"48,721","49,372","46,444","47,048"
08/25/2021,"48,364","49,147","47,193","48,748"
08/24/2021,"49,525","49,852","47,856","48,364"
08/23/2021,"48,425","50,478","48,315","49,509"
08/22/2021,"49,070","49,466","48,225","48,425"
08/21/2021,"48,653","49,799","48,374","48,988"
08/20/2021,"46,587","48,993","46,361","48,653"
08/19/2021,"44,593","46,831","44,016","46,568"
08/18/2021,"45,017","45,965","44,283","44,593"
08/17/2021,"46,065","47,140","44,601","45,017"
08/16/2021,"46,750","48,047","45,728","46,065"
08/15/2021,"46,665","47,349","45,615","46,750"
08/14/2021,"47,545","48,103","46,201","46,665"
08/13/2021,"44,440","47,775","43,912","47,545"
08/12/2021,"46,340","46,391","43,844","44,440"
08/11/2021,"45,627","46,752","45,276","46,340"
08/10/2021,"45,482","46,608","44,695","45,627"
08/09/2021,"43,855","46,431","42,832","45,482"
08/08/2021,"43,945","45,276","43,331","43,855"
08/07/2021,"42,696","44,557","42,404","43,945"
08/06/2021,"40,908","43,314","39,942","42,673"
08/05/2021,"39,745","41,367","37,454","40,908"
08/04/2021,"38,113","39,851","37,558","39,706"
08/03/2021,"38,861","39,773","37,768","38,113"
08/02/2021,"41,310","41,313","38,720","38,857"
08/01/2021,"41,516","42,551","40,694","41,310"
07/31/2021,"40,860","42,247","40,693","41,516"
07/30/2021,"39,722","41,290","38,389","40,860"
07/29/2021,"40,068","40,630","39,337","39,722"
07/28/2021,"38,000","40,830","37,988","40,068"
07/27/2021,"37,598","38,732","36,453","38,000"
07/26/2021,"34,481","40,502","34,455","37,598"
