sequence,symbol,ask_price,partitionKey,time_exchange,bid_size,id,ts,ask_size,bid_price
913501,QUOTE_COINBASE_SPOT_BTC_USDT,16903.94,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:11:19.808946Z,0.02,cf15b3e7-ba9b-4c9f-8b58-cc2ca19538bc,2023-01-04T18:11:19.878756800Z,0.14795001,16901.38
913503,QUOTE_COINBASE_SPOT_BTC_USDT,16903.94,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:11:20.239630Z,0.02,dab41499-c776-4352-9a65-959dbe17d512,2023-01-04T18:11:20.309410900Z,0.14795001,16901.38
913512,QUOTE_COINBASE_SPOT_BTC_USDT,16903.94,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:11:21.873858Z,0.04175739,f9cc89cc-4d0e-41f7-8124-61f368f1d4fb,2023-01-04T18:11:21.943003200Z,0.14795001,16901.84
913513,QUOTE_COINBASE_SPOT_BTC_USDT,16903.94,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:11:22.104671Z,0.02,f791ef42-e189-465d-8229-311816263020,2023-01-04T18:11:22.173436300Z,0.14795001,16901.85
913515,QUOTE_COINBASE_SPOT_BTC_USDT,16903.94,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:11:22.852021Z,0.04175739,b412fe3a-8eee-4439-a7ba-d9d81472743c,2023-01-04T18:11:22.919977400Z,0.14795001,16902.07
913516,QUOTE_COINBASE_SPOT_BTC_USDT,16903.94,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:11:22.910339Z,0.02,ca1f857c-ae40-45ed-9996-5915fd3353ff,2023-01-04T18:11:22.982264700Z,0.14795001,16902.08
913521,QUOTE_COINBASE_SPOT_BTC_USDT,16903.94,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:11:23.910617Z,0.04175739,6844dc63-9f1e-422b-a059-432483a1c965,2023-01-04T18:11:23.978417400Z,0.05918,16902.29
913527,QUOTE_COINBASE_SPOT_BTC_USDT,16904.51,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:11:24.331327Z,0.04175739,5e347277-acb9-49bb-a17c-5f0e219f5732,2023-01-04T18:11:24.401926400Z,0.02,16902.1
913529,QUOTE_COINBASE_SPOT_BTC_USDT,16904.51,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:11:25.250169Z,0.002274,ca920438-01f9-47ba-90dd-fa5229cb8d14,2023-01-04T18:11:25.321317600Z,0.06175739,16902.08
913535,QUOTE_COINBASE_SPOT_BTC_USDT,16904.19,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:11:25.693906Z,0.002274,1118d828-f224-4e30-b337-c6b112d0773a,2023-01-04T18:11:25.762175200Z,0.02839498,16902.08
